"Absecon city, New Jersey",2018,3092,2267,73.3,3360,1062,31.6,3553,996,28,174,1781,344,19.3,510,28.6,2013,34.1,2808,90.8
"Allamuchy CDP, New Jersey",2018,14,14,100,14,14,100,21,14,66.7,0,35,14,40,7,20,7,33.3,14,100
"Allendale borough, New Jersey",2018,2254,1890,83.9,2276,451,19.8,2907,681,23.4,30,2098,582,27.7,212,10.1,356,8.2,2117,93.9
"Allenhurst borough, New Jersey",2018,205,133,64.9,242,87,36,207,40,19.3,0,111,28,25.2,30,27,59,15.4,200,97.6
"Allentown borough, New Jersey",2018,715,506,70.8,810,320,39.5,805,177,22,28,439,174,39.6,111,25.3,263,21,672,94
"Allenwood CDP, New Jersey",2018,297,236,79.5,342,139,40.6,393,100,25.4,0,294,106,36.1,57,19.4,93,17.6,256,86.2
"Alloway CDP, New Jersey",2018,518,351,67.8,622,222,35.7,527,126,23.9,0,473,174,36.8,63,13.3,402,44.9,429,82.8
"Alpha borough, New Jersey",2018,915,564,61.6,829,216,26.1,954,224,23.5,49,412,85,20.6,100,24.3,658,41.6,777,84.9
"Alpine borough, New Jersey",2018,525,446,85,568,147,25.9,660,151,22.9,4,363,92,25.3,62,17.1,124,11.4,502,95.6
"Anderson CDP, New Jersey",2018,144,127,88.2,125,0,0,190,38,20,0,100,13,13,0,0,92,33.2,132,91.7
"Andover borough, New Jersey",2018,250,164,65.6,234,58,24.8,301,108,35.9,0,147,39,26.5,69,46.9,144,34.1,229,91.6
"Annandale CDP, New Jersey",2018,526,442,84,568,152,26.8,671,202,30.1,8,351,78,22.2,91,25.9,166,16.1,497,94.5
"Asbury CDP, New Jersey",2018,103,50,48.5,119,41,34.5,89,8,9,0,23,5,21.7,5,21.7,79,40.7,98,95.1
"Asbury Park city, New Jersey",2018,6721,3116,46.4,5942,3089,52,6708,3293,49.1,194,3889,744,19.1,962,24.7,3553,33.7,5654,84.1
"Ashland CDP, New Jersey",2018,3002,2300,76.6,3331,1100,33,3622,891,24.6,68,1997,504,25.2,499,25,1320,22,2883,96
"Atlantic City city, New Jersey",2018,15272,8141,53.3,15292,7685,50.3,14990,6682,44.6,656,9287,1981,21.3,2136,23,8528,33.4,11345,74.3
"Atlantic Highlands borough, New Jersey",2018,1719,1028,59.8,1940,830,42.8,1768,488,27.6,59,1027,235,22.9,393,38.3,653,21.3,1556,90.5
"Audubon borough, New Jersey",2018,3489,2164,62,3616,1458,40.3,3833,1175,30.7,37,2017,380,18.8,694,34.4,1993,31.7,3188,91.4
"Audubon Park borough, New Jersey",2018,469,245,52.2,341,114,33.4,508,180,35.4,0,138,21,15.2,76,55.1,408,52.5,395,84.2
"Avalon borough, New Jersey",2018,721,485,67.3,636,111,17.5,701,86,12.3,0,140,22,15.7,51,36.4,221,17.4,664,92.1
"Avenel CDP, New Jersey",2018,5133,3806,74.1,9759,4855,49.7,6056,1608,26.6,246,3763,772,20.5,946,25.1,6979,49.4,4568,89
"Avon-by-the-Sea borough, New Jersey",2018,895,464,51.8,683,201,29.4,875,194,22.2,13,336,88,26.2,91,27.1,195,13.8,811,90.6
"Barclay CDP, New Jersey",2018,1465,1268,86.6,1665,441,26.5,1838,400,21.8,89,1015,188,18.5,238,23.4,406,13.4,1420,96.9
"Barnegat CDP, New Jersey",2018,1046,733,70.1,1223,432,35.3,1005,227,22.6,47,583,167,28.6,140,24,652,32.8,908,86.8
"Barnegat Light borough, New Jersey",2018,237,143,60.3,181,35,19.3,238,12,5,0,16,6,37.5,10,62.5,97,24.3,211,89
"Barrington borough, New Jersey",2018,2775,1543,55.6,2707,1057,39,2888,853,29.5,104,1280,256,20,406,31.7,1348,26.6,2419,87.2
"Bay Head borough, New Jersey",2018,457,297,65,398,60,15.1,462,53,11.5,12,148,30,20.3,19,12.8,105,13.2,431,94.3
"Bayonne city, New Jersey",2018,24975,16304,65.3,25716,10171,39.6,26921,8956,33.3,605,16611,3457,20.8,4101,24.7,14839,32.7,21962,87.9
"Beach Haven borough, New Jersey",2018,544,340,62.5,486,115,23.7,536,94,17.5,4,121,37,30.6,28,23.1,167,18,478,87.9
"Beach Haven West CDP, New Jersey",2018,1726,1147,66.5,1738,464,26.7,1895,484,25.5,51,361,150,41.6,98,27.1,838,26.4,1633,94.6
"Beachwood borough, New Jersey",2018,3766,2927,77.7,4524,1754,38.8,4484,1468,32.7,81,3051,658,21.6,801,26.3,2681,37.1,3499,92.9
"Beattystown CDP, New Jersey",2018,1794,1064,59.3,1958,834,42.6,1660,377,22.7,53,1097,206,18.8,286,26.1,1063,34.4,1552,86.5
"Beckett CDP, New Jersey",2018,1640,1219,74.3,1782,478,26.8,2032,605,29.8,68,1701,314,18.5,418,24.6,951,30.2,1616,98.5
